,auc
bad_116b,0.45047654717317637
bad_119b,0.5393626525516573
bad_120b,0.5369411357340721
bad_122b,0.5565589029668316
bad_124b,0.45976903870162295
bad_127b,0.5150238647327959
bad_128b,0.49038777952757234
bad_131b,0.46378567606818005
bad_209b,0.5115532821399286
bad_211b,0.45656093148870036
bad_215b,0.4985856002365464
bad_220b,0.5652814594002394
bad_223b,0.4849366538018613
bad_224b,0.5684297752808989
bad_225b,0.556152626910268
bad_226b,0.4631228027907559
bad_229b,0.48576784991752
bad_231b,0.5322145736706472
bad_309b,0.4919064685334931
bad_310b,0.5246080649735984
bad_311b,0.4758638305688219
bad_312b,0.5095578695603966
bad_316b,0.4780795455384911
bad_921b,0.48955132434871923
bad_923b,0.5221310528730637
bad_925b,0.5824236371202663
