			age	age	age	age	age	age	age	age	headSize	headSize	headSize	headSize	headSize	headSize	headSize	headSize	ses	ses	ses	ses	ses	ses	ses	ses	birthWeight	birthWeight	birthWeight	birthWeight	birthWeight	birthWeight	birthWeight	birthWeight	maternalEdu	maternalEdu	maternalEdu	maternalEdu	maternalEdu	maternalEdu	maternalEdu	maternalEdu	maternalHscore	maternalHscore	maternalHscore	maternalHscore	maternalHscore	maternalHscore	maternalHscore	maternalHscore	paternalEdu	paternalEdu	paternalEdu	paternalEdu	paternalEdu	paternalEdu	paternalEdu	paternalEdu	paternalHscore	paternalHscore	paternalHscore	paternalHscore	paternalHscore	paternalHscore	paternalHscore	paternalHscore	auc	auc	auc	auc	auc	auc	auc	auc	latencies	latencies	latencies	latencies	latencies	latencies	latencies	latencies
			count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max
sesGroup	oddballCond	hemisphere																																																																																
high	deviant	lh	22.0	58.63636363636363	6.098754396990027	45.0	55.25	59.0	63.75	67.0	22.0	39.63636363636363	1.0930714500000422	38.0	39.0	40.0	40.0	42.0	22.0	62.90909090909091	2.784465254451337	59.5	60.5	63.0	66.0	66.0	22.0	116.9090909090909	13.016140496318924	86.0	112.5	115.0	123.5	141.0	22.0	17.363636363636363	1.528941574312877	15.0	16.0	17.0	18.75	20.0	22.0	6.454545454545454	0.5096471914376256	6.0	6.0	6.0	7.0	7.0	22.0	17.545454545454547	1.9204977709728506	16.0	16.0	17.0	19.0	22.0	22.0	6.454545454545454	0.5096471914376256	6.0	6.0	6.0	7.0	7.0	22.0	9.36142484535219e-10	2.372036650768982e-10	5.970433145739052e-10	7.614413443578166e-10	9.032155066423124e-10	1.1226297678216855e-09	1.3936858005302386e-09	22.0	0.3124242424242424	0.10815030603973665	0.15166666666666667	0.23541666666666666	0.2891666666666667	0.39875000000000005	0.51
high	deviant	rh	22.0	58.63636363636363	6.098754396990027	45.0	55.25	59.0	63.75	67.0	22.0	39.63636363636363	1.0930714500000422	38.0	39.0	40.0	40.0	42.0	22.0	62.90909090909091	2.784465254451337	59.5	60.5	63.0	66.0	66.0	22.0	116.9090909090909	13.016140496318924	86.0	112.5	115.0	123.5	141.0	22.0	17.363636363636363	1.528941574312877	15.0	16.0	17.0	18.75	20.0	22.0	6.454545454545454	0.5096471914376256	6.0	6.0	6.0	7.0	7.0	22.0	17.545454545454547	1.9204977709728506	16.0	16.0	17.0	19.0	22.0	22.0	6.454545454545454	0.5096471914376256	6.0	6.0	6.0	7.0	7.0	22.0	9.798876941989697e-10	3.9438003691290644e-10	3.8955303875137905e-10	7.183361322319925e-10	8.893462895557086e-10	1.1919954811264923e-09	1.910659574664312e-09	22.0	0.33249999999999996	0.11520484401558853	0.15833333333333333	0.23166666666666666	0.31083333333333335	0.4375	0.5066666666666667
high	standard	lh	11.0	58.63636363636363	6.249363603963643	45.0	55.5	59.0	63.5	67.0	11.0	39.63636363636363	1.1200649331826502	38.0	39.0	40.0	40.0	42.0	11.0	62.90909090909091	2.8532278371888022	59.5	60.5	63.0	66.0	66.0	11.0	116.9090909090909	13.337575082859294	86.0	113.0	115.0	123.0	141.0	11.0	17.363636363636363	1.5666989036012804	15.0	16.0	17.0	18.5	20.0	11.0	6.454545454545454	0.5222329678670935	6.0	6.0	6.0	7.0	7.0	11.0	17.545454545454547	1.9679246105293953	16.0	16.0	17.0	19.0	22.0	11.0	6.454545454545454	0.5222329678670935	6.0	6.0	6.0	7.0	7.0	11.0	9.106355113847092e-10	2.8819384015351966e-10	6.028120469292438e-10	6.9720616035433e-10	8.84627365985704e-10	1.0377688436966586e-09	1.5886068583128911e-09	11.0	0.31439393939393945	0.09952741868805334	0.16833333333333333	0.22916666666666666	0.35	0.3816666666666667	0.43666666666666665
high	standard	rh	11.0	58.63636363636363	6.249363603963643	45.0	55.5	59.0	63.5	67.0	11.0	39.63636363636363	1.1200649331826502	38.0	39.0	40.0	40.0	42.0	11.0	62.90909090909091	2.8532278371888022	59.5	60.5	63.0	66.0	66.0	11.0	116.9090909090909	13.337575082859294	86.0	113.0	115.0	123.0	141.0	11.0	17.363636363636363	1.5666989036012804	15.0	16.0	17.0	18.5	20.0	11.0	6.454545454545454	0.5222329678670935	6.0	6.0	6.0	7.0	7.0	11.0	17.545454545454547	1.9679246105293953	16.0	16.0	17.0	19.0	22.0	11.0	6.454545454545454	0.5222329678670935	6.0	6.0	6.0	7.0	7.0	11.0	9.661371226381858e-10	4.5097358658885373e-10	5.525850300984083e-10	6.92674922284574e-10	7.880824019139885e-10	1.0987253114802198e-09	2.093973624592402e-09	11.0	0.3056060606060606	0.11727998959582131	0.17	0.22666666666666668	0.26	0.3716666666666667	0.5083333333333333
low	deviant	lh	28.0	60.07142857142857	6.514534015503599	53.0	54.0	58.5	64.0	75.0	28.0	39.357142857142854	1.1292175499576134	37.0	39.0	39.0	40.0	42.0	28.0	44.17857142857143	11.139863591918928	22.0	36.5	42.5	56.0	58.0	28.0	118.92857142857143	14.939206611460135	102.0	108.0	112.0	132.0	150.0	28.0	15.928571428571429	2.1590219223934857	12.0	14.0	17.0	17.0	19.0	28.0	5.857142857142857	1.0079052613579393	4.0	5.0	6.0	7.0	7.0	28.0	14.5	2.950204010522612	10.0	12.0	14.0	16.0	20.0	28.0	5.214285714285714	1.166099635446457	3.0	4.0	5.0	6.0	7.0	28.0	1.209749180765738e-09	5.060941982811584e-10	4.365703702294511e-10	7.562114168469459e-10	1.2236379369596299e-09	1.4696805393187845e-09	2.1645215517110305e-09	28.0	0.35452380952380963	0.10096841491915914	0.15	0.2766666666666666	0.3816666666666667	0.42541666666666667	0.51
low	deviant	rh	28.0	60.07142857142857	6.514534015503599	53.0	54.0	58.5	64.0	75.0	28.0	39.357142857142854	1.1292175499576134	37.0	39.0	39.0	40.0	42.0	28.0	44.17857142857143	11.139863591918928	22.0	36.5	42.5	56.0	58.0	28.0	118.92857142857143	14.939206611460135	102.0	108.0	112.0	132.0	150.0	28.0	15.928571428571429	2.1590219223934857	12.0	14.0	17.0	17.0	19.0	28.0	5.857142857142857	1.0079052613579393	4.0	5.0	6.0	7.0	7.0	28.0	14.5	2.950204010522612	10.0	12.0	14.0	16.0	20.0	28.0	5.214285714285714	1.166099635446457	3.0	4.0	5.0	6.0	7.0	28.0	1.18512754160832e-09	5.331158397636269e-10	4.0129967172641566e-10	7.006019714070937e-10	1.1896489679973696e-09	1.5750319482498511e-09	2.1675212245756063e-09	28.0	0.32	0.09556416843182304	0.16833333333333333	0.24583333333333335	0.32666666666666666	0.40041666666666664	0.51
low	standard	lh	14.0	60.07142857142857	6.638631528517648	53.0	54.25	58.5	63.75	75.0	14.0	39.357142857142854	1.15072838853303	37.0	39.0	39.0	39.75	42.0	14.0	44.17857142857143	11.352070537769992	22.0	37.625	42.5	55.875	58.0	14.0	118.92857142857143	15.223788499047673	102.0	108.25	112.0	130.75	150.0	14.0	15.928571428571429	2.2001498450467736	12.0	14.25	17.0	17.0	19.0	14.0	5.857142857142857	1.0271051820261912	4.0	5.25	6.0	6.75	7.0	14.0	14.5	3.0064034224404312	10.0	12.0	14.0	16.0	20.0	14.0	5.214285714285714	1.1883130530663677	3.0	4.25	5.0	6.0	7.0	14.0	1.3717325904061287e-09	6.51602594307501e-10	6.521995180654744e-10	8.509693085095075e-10	1.2313451924857693e-09	1.7401876911940685e-09	3.0638056420672145e-09	14.0	0.32250000000000006	0.09486551434512866	0.17666666666666667	0.24666666666666665	0.3325	0.3975	0.4866666666666667
low	standard	rh	14.0	60.07142857142857	6.638631528517648	53.0	54.25	58.5	63.75	75.0	14.0	39.357142857142854	1.15072838853303	37.0	39.0	39.0	39.75	42.0	14.0	44.17857142857143	11.352070537769992	22.0	37.625	42.5	55.875	58.0	14.0	118.92857142857143	15.223788499047673	102.0	108.25	112.0	130.75	150.0	14.0	15.928571428571429	2.2001498450467736	12.0	14.25	17.0	17.0	19.0	14.0	5.857142857142857	1.0271051820261912	4.0	5.25	6.0	6.75	7.0	14.0	14.5	3.0064034224404312	10.0	12.0	14.0	16.0	20.0	14.0	5.214285714285714	1.1883130530663677	3.0	4.25	5.0	6.0	7.0	14.0	1.208959487563413e-09	4.674857354992841e-10	6.568742018313267e-10	7.939567059817047e-10	1.103849698325767e-09	1.587699531350193e-09	1.9834272742871043e-09	14.0	0.37952380952380954	0.09978915501133105	0.15166666666666667	0.3179166666666667	0.42333333333333334	0.43833333333333335	0.505
