'MEG0111', 'MEG0112', 'MEG0113',
'MEG0121', 'MEG0122', 'MEG0123',
'MEG0341', 'MEG0342', 'MEG0343',
'MEG0321', 'MEG0322', 'MEG0323',
'MEG0331', 'MEG0332', 'MEG0333',
'MEG0131', 'MEG0132', 'MEG0133',
'MEG0211', 'MEG0212', 'MEG0213',
'MEG0221', 'MEG0222', 'MEG0223',
'MEG0411', 'MEG0412', 'MEG0413',
'MEG0421', 'MEG0422', 'MEG0423',
'MEG0141', 'MEG0142', 'MEG0143',
'MEG1511', 'MEG1512', 'MEG1513',
'MEG0241', 'MEG0242', 'MEG0243',
'MEG0231', 'MEG0232', 'MEG0233',
'MEG0441', 'MEG0442', 'MEG0443',
'MEG0431', 'MEG0432', 'MEG0433',
'MEG1541', 'MEG1542', 'MEG1543',
'MEG1521', 'MEG1522', 'MEG1523',
'MEG1611', 'MEG1612', 'MEG1613',
'MEG1621', 'MEG1622', 'MEG1623',
'MEG1811', 'MEG1812', 'MEG1813',
'MEG1821', 'MEG1822', 'MEG1823',
'MEG1531', 'MEG1532', 'MEG1533',
'MEG1721', 'MEG1722', 'MEG1723',
'MEG1641', 'MEG1642', 'MEG1643',
'MEG1631', 'MEG1632', 'MEG1633',
'MEG1841', 'MEG1842', 'MEG1843'
